00AI               20231227                                                                                   
0601AIA0N       20240101000895100000005000 0000000000001111   
0601AIA0N       20240101000900100000005000 0000000000001115   
0601AIA0N       20240101000905100000005000 0000000000001120   
0601AIA0N       20240101000910100000005000 0000000000001122   
0601AIA0N       20240101000915100000005000 0000000000001126   
0601AIA0N       20240101000920100000005000 0000000000001131   
0601AIA0N       20240101000925100000005000 0000000000001134   
0601AIA0N       20240101000930100000005000 0000000000001139   
0601AIA0N       20240101000935100000005000 0000000000001142   
0601AIA0N       20240101000940100000005000 0000000000001146   
0601AIA0N       20240101000945100000005000 0000000000001149   
0601AIA0N       20240101000950100000005000 0000000000001154   
0601AIA0N       20240101000955100000005000 0000000000001157   
0601AIA0N       20240101000960100000005000 0000000000001162   
0601AIA0N       20240101000965100000005000 0000000000001165   
0601AIA0N       20240101000970100000005000 0000000000001170   
0601AIA0N       20240101000975100000005000 0000000000001174   
0601AIA0N       20240101000980100000005000 0000000000001178   
0601AIA0N       20240101000985100000005000 0000000000001182   
0601AIA0N       20240101000990100000005000 0000000000001185   
0601AIA0N       20240101000995100000005000 0000000000001190   
0601AIA0N       20240101001000100000005000 0000000000001194   
0601AIA0N       20240101001005100000005000 0000000000001197   
0601AIA0N       20240101001010100000005000 0000000000001201   
0601AIA0N       20240101001015100000005000 0000000000001204   
0601AIA0N       20240101001020100000005000 0000000000001209   
0601AIA0N       20240101001025100000005000 0000000000001213   
0601AIA0N       20240101001030100000005000 0000000000001215   
0601AIA0N       20240101001035100000005000 0000000000001219   
0601AIA0N       20240101001040100000005000 0000000000001222   
0601AIA0N       20240101001045100000005000 0000000000001227   
0601AIA0N       20240101001050100000005000 0000000000001230   
0601AIA0N       20240101001055100000005000 0000000000001233   
0601AIA0N       20240101001060100000005000 0000000000001237   
0601AIA0N       20240101001065100000005000 0000000000001240   
0601AIA0N       20240101001070100000005000 0000000000001244   
0601AIA0N       20240101001075100000005000 0000000000001247   
0601AIA0N       20240101001080100000005000 0000000000001251   
0601AIA0N       20240101001085100000005000 0000000000001253   
0601AIA0N       20240101001090100000005000 0000000000001257   
0601AIA0N       20240101001095100000005000 0000000000001261   
0601AIA0N       20240101001100100000005000 0000000000001264   
0601AIA0N       20240101001105100000005000 0000000000001267   
0601AIA0N       20240101001110100000005000 0000000000001270   
0601AIA0N       20240101001115100000005000 0000000000001272   
0601AIA0N       20240101001120100000005000 0000000000001277   
0601AIA0N       20240101001125100000005000 0000000000001280   
0601AIA0N       20240101001130100000005000 0000000000001283   
0601AIA0N       20240101001135100000005000 0000000000001287   
0601AIA0N       20240101001140100000005000 0000000000001291   
0601AIA0N       20240101001145100000005000 0000000000001294   
0601AIA0N       20240101001150100000005000 0000000000001299   
0601AIA0N       20240101001155100000005000 0000000000001302   
0601AIA0N       20240101001160100000005000 0000000000001306   
0601AIA0N       20240101001165100000005000 0000000000001310   
0601AIA0N       20240101001170100000005000 0000000000001313   
0601AIA0N       20240101001175100000005000 0000000000001317   
0601AIA0N       20240101001180100000005000 0000000000001321   
0601AIA0N       20240101001185100000005000 0000000000001325   
0601AIA0N       20240101001190100000005000 0000000000001327   
0601AIA0N       20240101001195100000005000 0000000000001331   
0601AIA0N       20240101001200100000005000 0000000000001336   
0601AIA0N       20240101001205100000005000 0000000000001338   
0601AIA0N       20240101001210100000005000 0000000000001342   
0601AIA0N       20240101001215100000005000 0000000000001345   
0601AIA0N       20240101001220100000005000 0000000000001348   
0601AIA0N       20240101001225100000005000 0000000000001352   
0601AIA0N       20240101001230100000005000 0000000000001355   
0601AIA0N       20240101001235100000005000 0000000000001359   
0601AIA0N       20240101001240100000005000 0000000000001362   
0601AIA0N       20240101001245100000005000 0000000000001366   
0601AIA0N       20240101001250100000005000 0000000000001369   
0601AIA0N       20240101001255100000005000 0000000000001372   
0601AIA0N       20240101001260100000005000 0000000000001376   
