00BL               20231108                                                                                   
0601BLA0N       20240101001995100000005000 0000000000002480   
0601BLA0N       20240101002000100000005000 0000000000002483   
0601BLA0N       20240101002005100000005000 0000000000002486   
0601BLA0N       20240101002010100000005000 0000000000002488   
0601BLA0N       20240101002015100000005000 0000000000002492   
0601BLA0N       20240101002020100000005000 0000000000002495   
0601BLA0N       20240101002025100000005000 0000000000002498   
0601BLA0N       20240101002030100000005000 0000000000002501   
0601BLA0N       20240101002035100000005000 0000000000002504   
0601BLA0N       20240101002040100000005000 0000000000002506   
0601BLA0N       20240101002045100000005000 0000000000002510   
0601BLA0N       20240101002050100000005000 0000000000002513   
0601BLA0N       20240101002055100000005000 0000000000002515   
0601BLA0N       20240101002060100000005000 0000000000002518   
0601BLA0N       20240101002065100000005000 0000000000002521   
0601BLA0N       20240101002070100000005000 0000000000002524   
0601BLA0N       20240101002075100000005000 0000000000002527   
0601BLA0N       20240101002080100000005000 0000000000002530   
0601BLA0N       20240101002085100000005000 0000000000002532   
0601BLA0N       20240101002090100000005000 0000000000002535   
0601BLA0N       20240101002095100000005000 0000000000002538   
0601BLA0N       20240101002100100000005000 0000000000002541   
0601BLA0N       20240101002105100000005000 0000000000002544   
0601BLA0N       20240101002110100000005000 0000000000002546   
0601BLA0N       20240101002115100000005000 0000000000002549   
0601BLA0N       20240101002120100000005000 0000000000002552   
0601BLA0N       20240101002125100000005000 0000000000002555   
0601BLA0N       20240101002130100000005000 0000000000002557   
0601BLA0N       20240101002135100000005000 0000000000002560   
0601BLA0N       20240101002140100000005000 0000000000002562   
0601BLA0N       20240101002145100000005000 0000000000002565   
0601BLA0N       20240101002150100000005000 0000000000002568   
0601BLA0N       20240101002155100000005000 0000000000002571   
0601BLA0N       20240101002160100000005000 0000000000002573   
0601BLA0N       20240101002165100000005000 0000000000002575   
0601BLA0N       20240101002170100000005000 0000000000002579   
0601BLA0N       20240101002175100000005000 0000000000002581   
0601BLA0N       20240101002180100000005000 0000000000002583   
0601BLA0N       20240101002185100000005000 0000000000002586   
0601BLA0N       20240101002190100000005000 0000000000002589   
0601BLA0N       20240101002195100000005000 0000000000002591   
0601BLA0N       20240101002200100000005000 0000000000002594   
0601BLA0N       20240101002205100000005000 0000000000002596   
0601BLA0N       20240101002210100000005000 0000000000002599   
0601BLA0N       20240101002215100000005000 0000000000002602   
0601BLA0N       20240101002220100000005000 0000000000002604   
0601BLA0N       20240101002225100000005000 0000000000002606   
0601BLA0N       20240101002230100000005000 0000000000002609   
0601BLA0N       20240101002235100000005000 0000000000002611   
0601BLA0N       20240101002240100000005000 0000000000002614   
0601BLA0N       20240101002245100000005000 0000000000002616   
0601BLA0N       20240101002250100000005000 0000000000002619   
0601BLA0N       20240101002255100000005000 0000000000002621   
0601BLA0N       20240101002260100000005000 0000000000002624   
0601BLA0N       20240101002265100000005000 0000000000002626   
0601BLA0N       20240101002270100000005000 0000000000002628   
0601BLA0N       20240101002275100000005000 0000000000002631   
0601BLA0N       20240101002280100000005000 0000000000002633   
0601BLA0N       20240101002285100000005000 0000000000002635   
0601BLA0N       20240101002290100000005000 0000000000002638   
0601BLA0N       20240101002295100000005000 0000000000002640   
0601BLA0N       20240101002300100000005000 0000000000002642   
0601BLA0N       20240101002305100000005000 0000000000002644   
0601BLA0N       20240101002310100000005000 0000000000002647   
0601BLA0N       20240101002315100000005000 0000000000002649   
0601BLA0N       20240101002320100000005000 0000000000002651   
0601BLA0N       20240101002325100000005000 0000000000002654   
0601BLA0N       20240101002330100000005000 0000000000002656   
0601BLA0N       20240101002335100000005000 0000000000002658   
0601BLA0N       20240101002340100000005000 0000000000002661   
0601BLA0N       20240101002345100000005000 0000000000002663   
0601BLA0N       20240101002350100000005000 0000000000002665   
0601BLA0N       20240101002355100000005000 0000000000002668   
0601BLA0N       20240101002360100000005000 0000000000002670   
0601BLA0N       20240101002365100000005000 0000000000002672   
0601BLA0N       20240101002370100000005000 0000000000002674   
0601BLA0N       20240101002375100000005000 0000000000002677   
0601BLA0N       20240101002380100000005000 0000000000002679   
0601BLA0N       20240101002385100000005000 0000000000002681   
0601BLA0N       20240101002390100000005000 0000000000002683   
0601BLA0N       20240101002395100000005000 0000000000002685   
0601BLA0N       20240101002400100000005000 0000000000002688   
0601BLA0N       20240101002405100000005000 0000000000002690   
0601BLA0N       20240101002410100000005000 0000000000002692   
0601BLA0N       20240101002415100000005000 0000000000002694   
0601BLA0N       20240101002420100000005000 0000000000002696   
0601BLA0N       20240101002425100000005000 0000000000002698   
0601BLA0N       20240101002430100000005000 0000000000002701   
0601BLA0N       20240101002435100000005000 0000000000002702   
0601BLA0N       20240101002440100000005000 0000000000002704   
0601BLA0N       20240101002445100000005000 0000000000002706   
0601BLA0N       20240101002450100000005000 0000000000002709   
0601BLA0N       20240101002455100000005000 0000000000002710   
0601BLA0N       20240101002460100000005000 0000000000002713   
0601BLA0N       20240101002465100000005000 0000000000002715   
0601BLA0N       20240101002470100000005000 0000000000002717   
0601BLA0N       20240101002475100000005000 0000000000002719   
0601BLA0N       20240101002480100000005000 0000000000002721   
0601BLA0N       20240101002485100000005000 0000000000002723   
0601BLA0N       20240101002490100000005000 0000000000002725   
0601BLA0N       20240101002495100000005000 0000000000002727   
0601BLA0N       20240101002500100000005000 0000000000002729   
0601BLA0N       20240101002505100000005000 0000000000002731   
0601BLA0N       20240101002510100000005000 0000000000002733   
0601BLA0N       20240101002515100000005000 0000000000002735   
0601BLA0N       20240101002520100000005000 0000000000002737   
0601BLA0N       20240101002525100000005000 0000000000002739   
0601BLA0N       20240101002530100000005000 0000000000002741   
0601BLA0N       20240101002535100000005000 0000000000002743   
0601BLA0N       20240101002540100000005000 0000000000002745   
0601BLA0N       20240101002545100000005000 0000000000002747   
0601BLA0N       20240101002550100000005000 0000000000002749   
0601BLA0N       20240101002555100000005000 0000000000002751   
0601BLA0N       20240101002560100000005000 0000000000002752   
0601BLA0N       20240101002565100000005000 0000000000002754   
0601BLA0N       20240101002570100000005000 0000000000002756   
0601BLA0N       20240101002575100000005000 0000000000002758   
0601BLA0N       20240101002580100000005000 0000000000002760   
0601BLA0N       20240101002585100000005000 0000000000002762   
