00AR               20221102                                                                                   
0601ARA0N       20230101000940100000005000 0000000030001404   
0601ARA0N       20230101000945100000005000 0000000030001408   
0601ARA0N       20230101000950100000005000 0000000030001412   
0601ARA0N       20230101000955100000005000 0000000030001418   
0601ARA0N       20230101000960100000005000 0000000030001422   
0601ARA0N       20230101000965100000005000 0000000030001426   
0601ARA0N       20230101000970100000005000 0000000030001430   
0601ARA0N       20230101000975100000005000 0000000030001434   
0601ARA0N       20230101000980100000005000 0000000030001440   
0601ARA0N       20230101000985100000005000 0000000030001444   
0601ARA0N       20230101000990100000005000 0000000030001447   
0601ARA0N       20230101000995100000005000 0000000030001451   
0601ARA0N       20230101001000100000005000 0000000030001455   
0601ARA0N       20230101001005100000005000 0000000030001459   
0601ARA0N       20230101001010100000005000 0000000030001464   
0601ARA0N       20230101001015100000005000 0000000030001468   
0601ARA0N       20230101001020100000005000 0000000030001471   
0601ARA0N       20230101001025100000005000 0000000030001475   
0601ARA0N       20230101001030100000005000 0000000030001478   
0601ARA0N       20230101001035100000005000 0000000030001483   
0601ARA0N       20230101001040100000005000 0000000030001487   
0601ARA0N       20230101001045100000005000 0000000030001490   
0601ARA0N       20230101001050100000005000 0000000030001494   
0601ARA0N       20230101001055100000005000 0000000030001497   
0601ARA0N       20230101001060100000005000 0000000030001502   
0601ARA0N       20230101001065100000005000 0000000030001505   
0601ARA0N       20230101001070100000005000 0000000030001509   
0601ARA0N       20230101001075100000005000 0000000030001512   
0601ARA0N       20230101001080100000005000 0000000030001515   
0601ARA0N       20230101001085100000005000 0000000030001520   
0601ARA0N       20230101001090100000005000 0000000030001523   
0601ARA0N       20230101001095100000005000 0000000030001526   
0601ARA0N       20230101001100100000005000 0000000030001529   
0601ARA0N       20230101001105100000005000 0000000030001533   
0601ARA0N       20230101001110100000005000 0000000030001538   
0601ARA0N       20230101001115100000005000 0000000030001541   
0601ARA0N       20230101001120100000005000 0000000030001545   
0601ARA0N       20230101001125100000005000 0000000030001549   
0601ARA0N       20230101001130100000005000 0000000030001553   
0601ARA0N       20230101001135100000005000 0000000030001558   
0601ARA0N       20230101001140100000005000 0000000030001562   
0601ARA0N       20230101001145100000005000 0000000030001566   
0601ARA0N       20230101001150100000005000 0000000030001569   
0601ARA0N       20230101001155100000005000 0000000030001573   
0601ARA0N       20230101001160100000005000 0000000030001578   
0601ARA0N       20230101001165100000005000 0000000030001582   
0601ARA0N       20230101001170100000005000 0000000030001585   
0601ARA0N       20230101001175100000005000 0000000030001589   
0601ARA0N       20230101001180100000005000 0000000030001592   
0601ARA0N       20230101001185100000005000 0000000030001597   
0601ARA0N       20230101001190100000005000 0000000030001601   
0601ARA0N       20230101001195100000005000 0000000030001604   
0601ARA0N       20230101001200100000005000 0000000030001607   
0601ARA0N       20230101001205100000005000 0000000030001610   
0601ARA0N       20230101001210100000005000 0000000030001616   
0601ARA0N       20230101001215100000005000 0000000030001619   
0601ARA0N       20230101001220100000005000 0000000030001622   
0601ARA0N       20230101001225100000005000 0000000030001625   
0601ARA0N       20230101001230100000005000 0000000030001628   
0601ARA0N       20230101001235100000005000 0000000030001633   
0601ARA0N       20230101001240100000005000 0000000030001636   
0601ARA0N       20230101001245100000005000 0000000030001640   
0601ARA0N       20230101001250100000005000 0000000030001644   
0601ARA0N       20230101001255100000005000 0000000030001648   
0601ARA0N       20230101001260100000005000 0000000030001651   
0601ARA0N       20230101001265100000005000 0000000030001656   
0601ARA0N       20230101001270100000005000 0000000030001659   
0601ARA0N       20230101001275100000005000 0000000030001663   
0601ARA0N       20230101001280100000005000 0000000030001666   
0601ARA0N       20230101001285100000005000 0000000030001670   
0601ARA0N       20230101001290100000005000 0000000030001674   
0601ARA0N       20230101001295100000005000 0000000030001676   
0601ARA0N       20230101001300100000005000 0000000030001681   
0601ARA0N       20230101001305100000005000 0000000030001684   
