00VD               20221027                                                                                   
0601VDA0N       20230101001370100000005000 0000000000002065   
0601VDA0N       20230101001375100000005000 0000000000002071   
0601VDA0N       20230101001380100000005000 0000000000002074   
0601VDA0N       20230101001385100000005000 0000000000002079   
0601VDA0N       20230101001390100000005000 0000000000002084   
0601VDA0N       20230101001395100000005000 0000000000002089   
0601VDA0N       20230101001400100000005000 0000000000002092   
0601VDA0N       20230101001405100000005000 0000000000002099   
0601VDA0N       20230101001410100000005000 0000000000002103   
0601VDA0N       20230101001415100000005000 0000000000002108   
0601VDA0N       20230101001420100000005000 0000000000002112   
0601VDA0N       20230101001425100000005000 0000000000002118   
0601VDA0N       20230101001430100000005000 0000000000002123   
0601VDA0N       20230101001435100000005000 0000000000002127   
0601VDA0N       20230101001440100000005000 0000000000002134   
0601VDA0N       20230101001445100000005000 0000000000002139   
0601VDA0N       20230101001450100000005000 0000000000002143   
0601VDA0N       20230101001455100000005000 0000000000002149   
0601VDA0N       20230101001460100000005000 0000000000002154   
0601VDA0N       20230101001465100000005000 0000000000002158   
0601VDA0N       20230101001470100000005000 0000000000002164   
0601VDA0N       20230101001475100000005000 0000000000002168   
0601VDA0N       20230101001480100000005000 0000000000002172   
0601VDA0N       20230101001485100000005000 0000000000002178   
0601VDA0N       20230101001490100000005000 0000000000002182   
0601VDA0N       20230101001495100000005000 0000000000002187   
0601VDA0N       20230101001500100000005000 0000000000002193   
0601VDA0N       20230101001505100000005000 0000000000002197   
0601VDA0N       20230101001510100000005000 0000000000002201   
0601VDA0N       20230101001515100000005000 0000000000002207   
0601VDA0N       20230101001520100000005000 0000000000002211   
0601VDA0N       20230101001525100000005000 0000000000002214   
0601VDA0N       20230101001530100000005000 0000000000002221   
0601VDA0N       20230101001535100000005000 0000000000002224   
0601VDA0N       20230101001540100000005000 0000000000002228   
0601VDA0N       20230101001545100000005000 0000000000002233   
0601VDA0N       20230101001550100000005000 0000000000002237   
0601VDA0N       20230101001555100000005000 0000000000002241   
0601VDA0N       20230101001560100000005000 0000000000002247   
0601VDA0N       20230101001565100000005000 0000000000002250   
0601VDA0N       20230101001570100000005000 0000000000002254   
0601VDA0N       20230101001575100000005000 0000000000002258   
0601VDA0N       20230101001580100000005000 0000000000002263   
0601VDA0N       20230101001585100000005000 0000000000002266   
0601VDA0N       20230101001590100000005000 0000000000002270   
0601VDA0N       20230101001595100000005000 0000000000002276   
0601VDA0N       20230101001600100000005000 0000000000002280   
0601VDA0N       20230101001605100000005000 0000000000002283   
0601VDA0N       20230101001610100000005000 0000000000002288   
0601VDA0N       20230101001615100000005000 0000000000002292   
0601VDA0N       20230101001620100000005000 0000000000002295   
0601VDA0N       20230101001625100000005000 0000000000002300   
0601VDA0N       20230101001630100000005000 0000000000002304   
0601VDA0N       20230101001635100000005000 0000000000002307   
0601VDA0N       20230101001640100000005000 0000000000002313   
0601VDA0N       20230101001645100000005000 0000000000002317   
0601VDA0N       20230101001650100000005000 0000000000002320   
0601VDA0N       20230101001655100000005000 0000000000002326   
0601VDA0N       20230101001660100000005000 0000000000002329   
0601VDA0N       20230101001665100000005000 0000000000002333   
0601VDA0N       20230101001670100000005000 0000000000002338   
0601VDA0N       20230101001675100000005000 0000000000002341   
0601VDA0N       20230101001680100000005000 0000000000002345   
0601VDA0N       20230101001685100000005000 0000000000002350   
0601VDA0N       20230101001690100000005000 0000000000002354   
0601VDA0N       20230101001695100000005000 0000000000002357   
0601VDA0N       20230101001700100000005000 0000000000002362   
0601VDA0N       20230101001705100000005000 0000000000002365   
0601VDA0N       20230101001710100000005000 0000000000002369   
0601VDA0N       20230101001715100000005000 0000000000002372   
0601VDA0N       20230101001720100000005000 0000000000002377   
0601VDA0N       20230101001725100000005000 0000000000002380   
0601VDA0N       20230101001730100000005000 0000000000002384   
0601VDA0N       20230101001735100000005000 0000000000002388   
0601VDA0N       20230101001740100000005000 0000000000002392   
0601VDA0N       20230101001745100000005000 0000000000002395   
0601VDA0N       20230101001750100000005000 0000000000002400   
0601VDA0N       20230101001755100000005000 0000000000002403   
0601VDA0N       20230101001760100000005000 0000000000002405   
0601VDA0N       20230101001765100000005000 0000000000002411   
0601VDA0N       20230101001770100000005000 0000000000002413   
0601VDA0N       20230101001775100000005000 0000000000002417   
0601VDA0N       20230101001780100000005000 0000000000002421   
0601VDA0N       20230101001785100000005000 0000000000002424   
0601VDA0N       20230101001790100000005000 0000000000002428   
0601VDA0N       20230101001795100000005000 0000000000002432   
0601VDA0N       20230101001800100000005000 0000000000002435   
0601VDA0N       20230101001805100000005000 0000000000002438   
0601VDA0N       20230101001810100000005000 0000000000002443   
0601VDA0N       20230101001815100000005000 0000000000002447   
0601VDA0N       20230101001820100000005000 0000000000002450   
0601VDA0N       20230101001825100000005000 0000000000002455   
0601VDA0N       20230101001830100000005000 0000000000002458   
0601VDA0N       20230101001835100000005000 0000000000002462   
0601VDA0N       20230101001840100000005000 0000000000002467   
0601VDA0N       20230101001845100000005000 0000000000002471   
0601VDA0N       20230101001850100000005000 0000000000002473   
0601VDA0N       20230101001855100000005000 0000000000002478   
0601VDA0N       20230101001860100000005000 0000000000002482   
0601VDA0N       20230101001865100000005000 0000000000002485   
0601VDA0N       20230101001870100000005000 0000000000002488   
0601VDA0N       20230101001875100000005000 0000000000002493   
0601VDA0N       20230101001880100000005000 0000000000002496   
0601VDA0N       20230101001885100000005000 0000000000002500   
0601VDA0N       20230101001890100000005000 0000000000002505   
0601VDA0N       20230101001895100000005000 0000000000002507   
0601VDA0N       20230101001900100000005000 0000000000002511   
0601VDA0N       20230101001905100000005000 0000000000002516   
0601VDA0N       20230101001910100000005000 0000000000002518   
0601VDA0N       20230101001915100000005000 0000000000002522   
0601VDA0N       20230101001920100000005000 0000000000002527   
0601VDA0N       20230101001925100000005000 0000000000002530   
0601VDA0N       20230101001930100000005000 0000000000002533   
0601VDA0N       20230101001935100000005000 0000000000002539   
0601VDA0N       20230101001940100000005000 0000000000002541   
0601VDA0N       20230101001945100000005000 0000000000002545   
0601VDA0N       20230101001950100000005000 0000000000002550   
0601VDA0N       20230101001955100000005000 0000000000002552   
0601VDA0N       20230101001960100000005000 0000000000002556   
0601VDA0N       20230101001965100000005000 0000000000002560   
0601VDA0N       20230101001970100000005000 0000000000002564   
0601VDA0N       20230101001975100000005000 0000000000002566   
0601VDA0N       20230101001980100000005000 0000000000002571   
0601VDA0N       20230101001985100000005000 0000000000002575   
0601VDA0N       20230101001990100000005000 0000000000002577   
0601VDA0N       20230101001995100000005000 0000000000002582   
0601VDA0N       20230101002000100000050000 0000000000002598   
0601VDA0N       20230101002050100000050000 0000000000002632   
0601VDA0N       20230101002100100000050000 0000000000002665   
0601VDA0N       20230101002150100000050000 0000000000002696   
0601VDA0N       20230101002200100000050000 0000000000002726   
0601VDA0N       20230101002250100000050000 0000000000002755   
0601VDA0N       20230101002300100000050000 0000000000002784   
0601VDA0N       20230101002350100000050000 0000000000002812   
0601VDA0N       20230101002400100000050000 0000000000002839   
0601VDA0N       20230101002450100000050000 0000000000002863   
0601VDA0N       20230101002500100000050000 0000000000002889   
0601VDA0N       20230101002550100000050000 0000000000002916   
0601VDA0N       20230101002600100000050000 0000000000002940   
0601VDA0N       20230101002650100000050000 0000000000002963   
0601VDA0N       20230101002700100000050000 0000000000002985   
0601VDA0N       20230101002750100000050000 0000000000003006   
0601VDA0N       20230101002800100000050000 0000000000003029   
0601VDA0N       20230101002850100000050000 0000000000003051   
0601VDA0N       20230101002900100000050000 0000000000003072   
0601VDA0N       20230101002950100000050000 0000000000003092   
0601VDA0N       20230101003000100000050000 0000000000003113   
0601VDA0N       20230101003050100000050000 0000000000003132   
0601VDA0N       20230101003100100000050000 0000000000003150   
0601VDA0N       20230101003150100000050000 0000000000003167   
0601VDA0N       20230101003200100000050000 0000000000003185   
0601VDA0N       20230101003250100000050000 0000000000003202   
0601VDA0N       20230101003300100000050000 0000000000003219   
0601VDA0N       20230101003350100000050000 0000000000003234   
0601VDA0N       20230101003400100000050000 0000000000003250   
0601VDA0N       20230101003450100000050000 0000000000003266   
0601VDA0N       20230101003500100000050000 0000000000003280   
0601VDA0N       20230101003550100000050000 0000000000003294   
0601VDA0N       20230101003600100000050000 0000000000003308   
0601VDA0N       20230101003650100000050000 0000000000003320   
0601VDA0N       20230101003700100000050000 0000000000003335   
0601VDA0N       20230101003750100000050000 0000000000003347   
0601VDA0N       20230101003800100000050000 0000000000003359   
0601VDA0N       20230101003850100000050000 0000000000003371   
0601VDA0N       20230101003900100000050000 0000000000003383   
0601VDA0N       20230101003950100000050000 0000000000003395   
0601VDA0N       20230101004000100000050000 0000000000003405   
0601VDA0N       20230101004050100000050000 0000000000003416   
0601VDA0N       20230101004100100000050000 0000000000003427   
0601VDA0N       20230101004150100000050000 0000000000003437   
0601VDA0N       20230101004200100000050000 0000000000003448   
0601VDA0N       20230101004250100000050000 0000000000003457   
0601VDA0N       20230101004300100000050000 0000000000003467   
0601VDA0N       20230101004350100000050000 0000000000003476   
0601VDA0N       20230101004400100000050000 0000000000003486   
0601VDA0N       20230101004450100000050000 0000000000003494   
0601VDA0N       20230101004500100000050000 0000000000003503   
0601VDA0N       20230101004550100000050000 0000000000003511   
0601VDA0N       20230101004600100000050000 0000000000003521   
0601VDA0N       20230101004650100000050000 0000000000003529   
0601VDA0N       20230101004700100000050000 0000000000003537   
0601VDA0N       20230101004750100000050000 0000000000003545   
0601VDA0N       20230101004800100000050000 0000000000003552   
0601VDA0N       20230101004850100000050000 0000000000003560   
0601VDA0N       20230101004900100000050000 0000000000003567   
0601VDA0N       20230101004950100000050000 0000000000003575   
0601VDA0N       20230101005000100000050000 0000000000003581   
0601VDA0N       20230101005050100000050000 0000000000003589   
0601VDA0N       20230101005100100000050000 0000000000003596   
0601VDA0N       20230101005150100000050000 0000000000003603   
0601VDA0N       20230101005200100000050000 0000000000003609   
0601VDA0N       20230101005250100000050000 0000000000003615   
0601VDA0N       20230101005300100000050000 0000000000003622   
0601VDA0N       20230101005350100000050000 0000000000003628   
0601VDA0N       20230101005400100000050000 0000000000003635   
0601VDA0N       20230101005450100000050000 0000000000003640   
0601VDA0N       20230101005500100000050000 0000000000003647   
0601VDA0N       20230101005550100000050000 0000000000003652   
0601VDA0N       20230101005600100000050000 0000000000003658   
0601VDA0N       20230101005650100000050000 0000000000003664   
0601VDA0N       20230101005700100000050000 0000000000003668   
0601VDA0N       20230101005750100000050000 0000000000003674   
0601VDA0N       20230101005800100000050000 0000000000003679   
0601VDA0N       20230101005850100000050000 0000000000003685   
0601VDA0N       20230101005900100000050000 0000000000003690   
0601VDA0N       20230101005950100000050000 0000000000003695   
0601VDA0N       20230101006000100000050000 0000000000003700   
0601VDA0N       20230101006050100000050000 0000000000003705   
0601VDA0N       20230101006100100000050000 0000000000003710   
0601VDA0N       20230101006150100000050000 0000000000003714   
0601VDA0N       20230101006200100000050000 0000000000003719   
0601VDA0N       20230101006250100000050000 0000000000003723   
0601VDA0N       20230101006300100000050000 0000000000003728   
0601VDA0N       20230101006350100000050000 0000000000003732   
0601VDA0N       20230101006400100000050000 0000000000003736   
0601VDA0N       20230101006450100000050000 0000000000003741   
0601VDA0N       20230101006500100000050000 0000000000003745   
0601VDA0N       20230101006550100000050000 0000000000003749   
0601VDA0N       20230101006600100000050000 0000000000003753   
0601VDA0N       20230101006650100000050000 0000000000003757   
0601VDA0N       20230101006700100000050000 0000000000003762   
0601VDA0N       20230101006750100000050000 0000000000003765   
0601VDA0N       20230101006800100000050000 0000000000003769   
0601VDA0N       20230101006850100000050000 0000000000003772   
0601VDA0N       20230101006900100000050000 0000000000003777   
0601VDA0N       20230101006950100000050000 0000000000003780   
0601VDA0N       20230101007000100000050000 0000000000003784   
0601VDA0N       20230101007050100000050000 0000000000003788   
0601VDA0N       20230101007100100000050000 0000000000003792   
0601VDA0N       20230101007150100000050000 0000000000003795   
0601VDA0N       20230101007200100000050000 0000000000003798   
0601VDA0N       20230101007250100000050000 0000000000003801   
0601VDA0N       20230101007300100000050000 0000000000003805   
0601VDA0N       20230101007350100000050000 0000000000003808   
0601VDA0N       20230101007400100000050000 0000000000003810   
0601VDA0N       20230101007450100000050000 0000000000003812   
0601VDA0N       20230101007500100000050000 0000000000003815   
0601VDA0N       20230101007550100000050000 0000000000003817   
0601VDA0N       20230101007600100000050000 0000000000003819   
0601VDA0N       20230101007650100000050000 0000000000003821   
0601VDA0N       20230101007700100000050000 0000000000003823   
0601VDA0N       20230101007750100000050000 0000000000003825   
0601VDA0N       20230101007800100000050000 0000000000003827   
0601VDA0N       20230101007850100000050000 0000000000003829   
0601VDA0N       20230101007900100000050000 0000000000003830   
0601VDA0N       20230101007950100000050000 0000000000003833   
0601VDA0N       20230101008000100000050000 0000000000003835   
0601VDA0N       20230101008050100000050000 0000000000003837   
0601VDA0N       20230101008100100000050000 0000000000003839   
0601VDA0N       20230101008150100000050000 0000000000003840   
0601VDA0N       20230101008200100000050000 0000000000003842   
0601VDA0N       20230101008250100000050000 0000000000003844   
0601VDA0N       20230101008300100000050000 0000000000003846   
0601VDA0N       20230101008350100000050000 0000000000003847   
0601VDA0N       20230101008400100000050000 0000000000003849   
0601VDA0N       20230101008450100000050000 0000000000003851   
0601VDA0N       20230101008500100000050000 0000000000003853   
0601VDA0N       20230101008550100000050000 0000000000003855   
0601VDA0N       20230101008600100000050000 0000000000003856   
0601VDA0N       20230101008650100000050000 0000000000003858   
0601VDA0N       20230101008700100000050000 0000000000003860   
0601VDA0N       20230101008750100000050000 0000000000003861   
0601VDA0N       20230101008800100000050000 0000000000003862   
0601VDA0N       20230101008850100000050000 0000000000003864   
0601VDA0N       20230101008900100000050000 0000000000003865   
0601VDA0N       20230101008950100000050000 0000000000003867   
0601VDA0N       20230101009000100000050000 0000000000003868   
0601VDA0N       20230101009050100000050000 0000000000003870   
0601VDA0N       20230101009100100000050000 0000000000003871   
0601VDA0N       20230101009150100000050000 0000000000003874   
0601VDA0N       20230101009200100000050000 0000000000003875   
0601VDA0N       20230101009250100000050000 0000000000003876   
0601VDA0N       20230101009300100000050000 0000000000003878   
0601VDA0N       20230101009350100000050000 0000000000003879   
0601VDA0N       20230101009400100000050000 0000000000003880   
0601VDA0N       20230101009450100000050000 0000000000003882   
0601VDA0N       20230101009500100000050000 0000000000003883   
0601VDA0N       20230101009550100000050000 0000000000003884   
0601VDA0N       20230101009600100000050000 0000000000003886   
0601VDA0N       20230101009650100000050000 0000000000003887   
0601VDA0N       20230101009700100000050000 0000000000003888   
0601VDA0N       20230101009750100000050000 0000000000003889   
0601VDA0N       20230101009800100000050000 0000000000003890   
0601VDA0N       20230101009850100000050000 0000000000003893   
0601VDA0N       20230101009900100000050000 0000000000003894   
0601VDA0N       20230101009950100000050000 0000000000003895   
0601VDA0N       20230101010000100040000000 0000000000003896   
0601VDA1N       20230101000000100000315000 0100000000000000   
0601VDA1N       20230101000315100000005000 0100000000000007   
0601VDA1N       20230101000320100000005000 0100000000000016   
0601VDA1N       20230101000325100000005000 0100000000000021   
0601VDA1N       20230101000330100000005000 0100000000000028   
0601VDA1N       20230101000335100000005000 0100000000000037   
0601VDA1N       20230101000340100000005000 0100000000000046   
0601VDA1N       20230101000345100000005000 0100000000000056   
0601VDA1N       20230101000350100000005000 0100000000000068   
0601VDA1N       20230101000355100000005000 0100000000000081   
0601VDA1N       20230101000360100000005000 0100000000000092   
0601VDA1N       20230101000365100000005000 0100000000000107   
0601VDA1N       20230101000370100000005000 0100000000000125   
0601VDA1N       20230101000375100000005000 0100000000000139   
0601VDA1N       20230101000380100000005000 0100000000000153   
0601VDA1N       20230101000385100000005000 0100000000000167   
