00GL               20231116                                                                                   
0601GLA0N       20240101001245100000005000 0000000104001508   
0601GLA0N       20240101001250100000005000 0000000104001513   
0601GLA0N       20240101001255100000005000 0000000104001517   
0601GLA0N       20240101001260100000005000 0000000104001519   
0601GLA0N       20240101001265100000005000 0000000104001524   
0601GLA0N       20240101001270100000005000 0000000104001528   
0601GLA0N       20240101001275100000005000 0000000104001531   
0601GLA0N       20240101001280100000005000 0000000104001534   
0601GLA0N       20240101001285100000005000 0000000104001539   
0601GLA0N       20240101001290100000005000 0000000104001542   
0601GLA0N       20240101001295100000005000 0000000104001545   
0601GLA0N       20240101001300100000005000 0000000104001550   
0601GLA0N       20240101001305100000005000 0000000104001553   
0601GLA0N       20240101001310100000005000 0000000104001556   
0601GLA0N       20240101001315100000005000 0000000104001561   
0601GLA0N       20240101001320100000005000 0000000104001564   
0601GLA0N       20240101001325100000005000 0000000104001566   
0601GLA0N       20240101001330100000005000 0000000104001571   
0601GLA0N       20240101001335100000005000 0000000104001574   
0601GLA0N       20240101001340100000005000 0000000104001577   
0601GLA0N       20240101001345100000005000 0000000104001581   
0601GLA0N       20240101001350100000005000 0000000104001584   
0601GLA0N       20240101001355100000005000 0000000104001587   
0601GLA0N       20240101001360100000005000 0000000104001591   
0601GLA0N       20240101001365100000005000 0000000104001594   
0601GLA0N       20240101001370100000005000 0000000104001596   
0601GLA0N       20240101001375100000005000 0000000104001601   
0601GLA0N       20240101001380100000005000 0000000104001604   
0601GLA0N       20240101001385100000005000 0000000104001606   
0601GLA0N       20240101001390100000005000 0000000104001611   
0601GLA0N       20240101001395100000005000 0000000104001613   
0601GLA0N       20240101001400100000005000 0000000104001616   
0601GLA0N       20240101001405100000005000 0000000104001620   
0601GLA0N       20240101001410100000005000 0000000104001623   
0601GLA0N       20240101001415100000005000 0000000104001625   
0601GLA0N       20240101001420100000005000 0000000104001627   
0601GLA0N       20240101001425100000005000 0000000104001632   
0601GLA0N       20240101001430100000005000 0000000104001634   
0601GLA0N       20240101001435100000005000 0000000104001637   
0601GLA0N       20240101001440100000005000 0000000104001642   
0601GLA0N       20240101001445100000005000 0000000104001645   
0601GLA0N       20240101001450100000005000 0000000104001648   
0601GLA0N       20240101001455100000005000 0000000104001652   
0601GLA0N       20240101001460100000005000 0000000104001655   
0601GLA0N       20240101001465100000005000 0000000104001659   
0601GLA0N       20240101001470100000005000 0000000104001663   
0601GLA0N       20240101001475100000005000 0000000104001666   
0601GLA0N       20240101001480100000005000 0000000104001669   
0601GLA0N       20240101001485100000005000 0000000104001673   
0601GLA0N       20240101001490100000005000 0000000104001676   
0601GLA0N       20240101001495100000005000 0000000104001679   
0601GLA0N       20240101001500100000005000 0000000104001683   
0601GLA0N       20240101001505100000005000 0000000104001686   
0601GLA0N       20240101001510100000005000 0000000104001689   
0601GLA0N       20240101001515100000005000 0000000104001693   
0601GLA0N       20240101001520100000005000 0000000104001696   
0601GLA0N       20240101001525100000005000 0000000104001699   
0601GLA0N       20240101001530100000005000 0000000104001703   
0601GLA0N       20240101001535100000005000 0000000104001705   
0601GLA0N       20240101001540100000005000 0000000104001708   
0601GLA0N       20240101001545100000005000 0000000104001712   
0601GLA0N       20240101001550100000005000 0000000104001715   
0601GLA0N       20240101001555100000005000 0000000104001718   
0601GLA0N       20240101001560100000005000 0000000104001723   
0601GLA0N       20240101001565100000005000 0000000104001726   
0601GLA0N       20240101001570100000005000 0000000104001728   
0601GLA0N       20240101001575100000005000 0000000104001732   
0601GLA0N       20240101001580100000005000 0000000104001736   
0601GLA0N       20240101001585100000005000 0000000104001739   
0601GLA0N       20240101001590100000005000 0000000104001742   
0601GLA0N       20240101001595100000005000 0000000104001746   
0601GLA0N       20240101001600100000005000 0000000104001750   
0601GLA0N       20240101001605100000005000 0000000104001752   
0601GLA0N       20240101001610100000005000 0000000104001757   
0601GLA0N       20240101001615100000005000 0000000104001760   
0601GLA0N       20240101001620100000005000 0000000104001763   
0601GLA0N       20240101001625100000005000 0000000104001767   
0601GLA0N       20240101001630100000005000 0000000104001770   
0601GLA0N       20240101001635100000005000 0000000104001772   
0601GLA0N       20240101001640100000005000 0000000104001777   
0601GLA0N       20240101001645100000005000 0000000104001780   
0601GLA0N       20240101001650100000005000 0000000104001782   
0601GLA0N       20240101001655100000005000 0000000104001786   
0601GLA0N       20240101001660100000005000 0000000104001789   
0601GLA0N       20240101001665100000005000 0000000104001792   
0601GLA0N       20240101001670100000005000 0000000104001796   
0601GLA0N       20240101001675100000005000 0000000104001799   
0601GLA0N       20240101001680100000005000 0000000104001801   
0601GLA0N       20240101001685100000005000 0000000104001805   
0601GLA0N       20240101001690100000005000 0000000104001808   
0601GLA0N       20240101001695100000005000 0000000104001810   
0601GLA0N       20240101001700100000005000 0000000104001814   
0601GLA0N       20240101001705100000005000 0000000104001817   
0601GLA0N       20240101001710100000005000 0000000104001820   
0601GLA0N       20240101001715100000005000 0000000104001822   
0601GLA0N       20240101001720100000005000 0000000104001826   
0601GLA0N       20240101001725100000005000 0000000104001828   
0601GLA0N       20240101001730100000005000 0000000104001831   
0601GLA0N       20240101001735100000005000 0000000104001835   
0601GLA0N       20240101001740100000005000 0000000104001837   
0601GLA0N       20240101001745100000005000 0000000104001839   
0601GLA0N       20240101001750100000005000 0000000104001843   
0601GLA0N       20240101001755100000005000 0000000104001846   
0601GLA0N       20240101001760100000005000 0000000104001848   
0601GLA0N       20240101001765100000005000 0000000104001852   
0601GLA0N       20240101001770100000005000 0000000104001854   
0601GLA0N       20240101001775100000005000 0000000104001857   
0601GLA0N       20240101001780100000005000 0000000104001860   
0601GLA0N       20240101001785100000005000 0000000104001862   
0601GLA0N       20240101001790100000005000 0000000104001864   
0601GLA0N       20240101001795100000005000 0000000104001868   
0601GLA0N       20240101001800100000005000 0000000104001871   
0601GLA0N       20240101001805100000005000 0000000104001873   
0601GLA0N       20240101001810100000005000 0000000104001876   
0601GLA0N       20240101001815100000005000 0000000104001878   
0601GLA0N       20240101001820100000005000 0000000104001881   
0601GLA0N       20240101001825100000005000 0000000104001885   
0601GLA0N       20240101001830100000005000 0000000104001886   
0601GLA0N       20240101001835100000005000 0000000104001888   
0601GLA0N       20240101001840100000005000 0000000104001893   
0601GLA0N       20240101001845100000005000 0000000104001896   
0601GLA0N       20240101001850100000005000 0000000104001898   
0601GLA0N       20240101001855100000005000 0000000104001902   
0601GLA0N       20240101001860100000005000 0000000104001904   
0601GLA0N       20240101001865100000005000 0000000104001907   
0601GLA0N       20240101001870100000005000 0000000104001910   
0601GLA0N       20240101001875100000005000 0000000104001914   
0601GLA0N       20240101001880100000005000 0000000104001916   
0601GLA0N       20240101001885100000005000 0000000104001918   
0601GLA0N       20240101001890100000005000 0000000104001923   
0601GLA0N       20240101001895100000005000 0000000104001925   
0601GLA0N       20240101001900100000005000 0000000104001927   
0601GLA0N       20240101001905100000005000 0000000104001931   
0601GLA0N       20240101001910100000005000 0000000104001934   
0601GLA0N       20240101001915100000005000 0000000104001936   
0601GLA0N       20240101001920100000005000 0000000104001940   
0601GLA0N       20240101001925100000005000 0000000104001942   
0601GLA0N       20240101001930100000005000 0000000104001945   
0601GLA0N       20240101001935100000005000 0000000104001948   
0601GLA0N       20240101001940100000005000 0000000104001951   
0601GLA0N       20240101001945100000005000 0000000104001953   
0601GLA0N       20240101001950100000005000 0000000104001957   
0601GLA0N       20240101001955100000005000 0000000104001959   
0601GLA0N       20240101001960100000005000 0000000104001961   
0601GLA0N       20240101001965100000005000 0000000104001965   
0601GLA0N       20240101001970100000005000 0000000104001968   
0601GLA0N       20240101001975100000005000 0000000104001970   
0601GLA0N       20240101001980100000005000 0000000104001973   
0601GLA0N       20240101001985100000005000 0000000104001975   
0601GLA0N       20240101001990100000005000 0000000104001978   
0601GLA0N       20240101001995100000005000 0000000104001981   
0601GLA0N       20240101002000100000005000 0000000104001984   
0601GLA0N       20240101002005100000005000 0000000104001986   
0601GLA0N       20240101002010100000005000 0000000104001988   
0601GLA0N       20240101002015100000005000 0000000104001992   
0601GLA0N       20240101002020100000005000 0000000104001994   
0601GLA0N       20240101002025100000005000 0000000104001996   
0601GLA0N       20240101002030100000005000 0000000104001999   
0601GLA0N       20240101002035100000005000 0000000104002001   
0601GLA0N       20240101002040100000005000 0000000104002003   
0601GLA0N       20240101002045100000005000 0000000104002007   
0601GLA0N       20240101002050100000005000 0000000104002009   
0601GLA0N       20240101002055100000005000 0000000104002011   
0601GLA0N       20240101002060100000005000 0000000104002014   
0601GLA0N       20240101002065100000005000 0000000104002016   
0601GLA0N       20240101002070100000005000 0000000104002018   
0601GLA0N       20240101002075100000005000 0000000104002022   
0601GLA0N       20240101002080100000005000 0000000104002024   
0601GLA0N       20240101002085100000005000 0000000104002025   
0601GLA0N       20240101002090100000005000 0000000104002029   
0601GLA0N       20240101002095100000005000 0000000104002031   
0601GLA0N       20240101002100100000005000 0000000104002033   
