00SG               20231206                                                                                   
0601SGA0N       20240101002100100000005000 0000000050002094   
0601SGA0N       20240101002105100000005000 0000000050002097   
0601SGA0N       20240101002110100000005000 0000000050002099   
0601SGA0N       20240101002115100000005000 0000000050002101   
0601SGA0N       20240101002120100000005000 0000000050002104   
0601SGA0N       20240101002125100000005000 0000000050002105   
0601SGA0N       20240101002130100000005000 0000000050002107   
0601SGA0N       20240101002135100000005000 0000000050002110   
0601SGA0N       20240101002140100000005000 0000000050002111   
0601SGA0N       20240101002145100000005000 0000000050002113   
0601SGA0N       20240101002150100000005000 0000000050002114   
0601SGA0N       20240101002155100000005000 0000000050002117   
0601SGA0N       20240101002160100000005000 0000000050002119   
0601SGA0N       20240101002165100000005000 0000000050002120   
0601SGA0N       20240101002170100000005000 0000000050002123   
0601SGA0N       20240101002175100000005000 0000000050002125   
0601SGA0N       20240101002180100000005000 0000000050002126   
0601SGA0N       20240101002185100000005000 0000000050002129   
0601SGA0N       20240101002190100000005000 0000000050002130   
0601SGA0N       20240101002195100000005000 0000000050002132   
0601SGA0N       20240101002200100000005000 0000000050002135   
0601SGA0N       20240101002205100000005000 0000000050002136   
0601SGA0N       20240101002210100000005000 0000000050002138   
0601SGA0N       20240101002215100000005000 0000000050002140   
0601SGA0N       20240101002220100000005000 0000000050002142   
0601SGA0N       20240101002225100000005000 0000000050002143   
0601SGA0N       20240101002230100000005000 0000000050002146   
0601SGA0N       20240101002235100000005000 0000000050002147   
0601SGA0N       20240101002240100000005000 0000000050002149   
0601SGA0N       20240101002245100000005000 0000000050002151   
0601SGA0N       20240101002250100000005000 0000000050002153   
0601SGA0N       20240101002255100000005000 0000000050002154   
0601SGA0N       20240101002260100000005000 0000000050002157   
0601SGA0N       20240101002265100000005000 0000000050002158   
0601SGA0N       20240101002270100000005000 0000000050002160   
0601SGA0N       20240101002275100000005000 0000000050002162   
0601SGA0N       20240101002280100000005000 0000000050002164   
0601SGA0N       20240101002285100000005000 0000000050002165   
0601SGA0N       20240101002290100000005000 0000000050002167   
0601SGA0N       20240101002295100000005000 0000000050002169   
0601SGA0N       20240101002300100000005000 0000000050002170   
0601SGA0N       20240101002305100000005000 0000000050002171   
0601SGA0N       20240101002310100000005000 0000000050002174   
0601SGA0N       20240101002315100000005000 0000000050002175   
0601SGA0N       20240101002320100000005000 0000000050002177   
0601SGA0N       20240101002325100000005000 0000000050002179   
0601SGA0N       20240101002330100000005000 0000000050002180   
0601SGA0N       20240101002335100000005000 0000000050002182   
0601SGA0N       20240101002340100000005000 0000000050002184   
0601SGA0N       20240101002345100000005000 0000000050002185   
0601SGA0N       20240101002350100000005000 0000000050002187   
0601SGA0N       20240101002355100000005000 0000000050002189   
0601SGA0N       20240101002360100000005000 0000000050002190   
0601SGA0N       20240101002365100000005000 0000000050002192   
0601SGA0N       20240101002370100000005000 0000000050002194   
0601SGA0N       20240101002375100000005000 0000000050002195   
0601SGA0N       20240101002380100000005000 0000000050002197   
0601SGA0N       20240101002385100000005000 0000000050002199   
0601SGA0N       20240101002390100000005000 0000000050002200   
0601SGA0N       20240101002395100000005000 0000000050002201   
0601SGA0N       20240101002400100000005000 0000000050002204   
0601SGA0N       20240101002405100000005000 0000000050002205   
0601SGA0N       20240101002410100000005000 0000000050002206   
0601SGA0N       20240101002415100000005000 0000000050002209   
0601SGA0N       20240101002420100000005000 0000000050002210   
0601SGA0N       20240101002425100000005000 0000000050002211   
0601SGA0N       20240101002430100000005000 0000000050002213   
0601SGA0N       20240101002435100000005000 0000000050002214   
0601SGA0N       20240101002440100000005000 0000000050002216   
0601SGA0N       20240101002445100000005000 0000000050002217   
0601SGA0N       20240101002450100000005000 0000000050002219   
0601SGA0N       20240101002455100000005000 0000000050002220   
0601SGA0N       20240101002460100000005000 0000000050002221   
0601SGA0N       20240101002465100000005000 0000000050002224   
0601SGA0N       20240101002470100000005000 0000000050002225   
0601SGA0N       20240101002475100000005000 0000000050002226   
0601SGA0N       20240101002480100000005000 0000000050002228   
0601SGA0N       20240101002485100000005000 0000000050002229   
0601SGA0N       20240101002490100000005000 0000000050002230   
0601SGA0N       20240101002495100000005000 0000000050002233   
0601SGA0N       20240101002500100000050000 0000000050002240   
0601SGA0N       20240101002550100000050000 0000000050002253   
0601SGA0N       20240101002600100000050000 0000000050002263   
0601SGA0N       20240101002650100000050000 0000000050002274   
0601SGA0N       20240101002700100000050000 0000000050002283   
0601SGA0N       20240101002750100000050000 0000000050002292   
0601SGA0N       20240101002800100000050000 0000000050002301   
0601SGA0N       20240101002850100000050000 0000000050002310   
0601SGA0N       20240101002900100000050000 0000000050002318   
0601SGA0N       20240101002950100000050000 0000000050002326   
0601SGA0N       20240101003000100000050000 0000000050002333   
0601SGA0N       20240101003050100000050000 0000000050002340   
0601SGA0N       20240101003100100000050000 0000000050002348   
0601SGA0N       20240101003150100000050000 0000000050002355   
0601SGA0N       20240101003200100000050000 0000000050002362   
0601SGA0N       20240101003250100000050000 0000000050002368   
0601SGA0N       20240101003300100000050000 0000000050002375   
0601SGA0N       20240101003350100000050000 0000000050002381   
0601SGA0N       20240101003400100000050000 0000000050002387   
0601SGA0N       20240101003450100000050000 0000000050002393   
0601SGA0N       20240101003500100000050000 0000000050002398   
0601SGA0N       20240101003550100000050000 0000000050002404   
0601SGA0N       20240101003600100000050000 0000000050002409   
0601SGA0N       20240101003650100000050000 0000000050002414   
0601SGA0N       20240101003700100000050000 0000000050002419   
0601SGA0N       20240101003750100000050000 0000000050002424   
0601SGA0N       20240101003800100000050000 0000000050002429   
0601SGA0N       20240101003850100000050000 0000000050002434   
0601SGA0N       20240101003900100000050000 0000000050002438   
0601SGA0N       20240101003950100000050000 0000000050002443   
0601SGA0N       20240101004000100000050000 0000000050002447   
0601SGA0N       20240101004050100000050000 0000000050002452   
0601SGA0N       20240101004100100000050000 0000000050002456   
0601SGA0N       20240101004150100000050000 0000000050002459   
0601SGA0N       20240101004200100000050000 0000000050002463   
0601SGA0N       20240101004250100000050000 0000000050002468   
