00GE               20231025                                                                                   
0601GEA0N       20240101001120000000005000 0000000000001882   
0601GEA0N       20240101001125000000005000 0000000000001887   
0601GEA0N       20240101001130000000005000 0000000000001892   
0601GEA0N       20240101001135000000005000 0000000000001897   
0601GEA0N       20240101001140000000005000 0000000000001902   
0601GEA0N       20240101001145000000005000 0000000000001908   
0601GEA0N       20240101001150000000005000 0000000000001913   
0601GEA0N       20240101001155000000005000 0000000000001918   
0601GEA0N       20240101001160000000005000 0000000000001923   
0601GEA0N       20240101001165000000005000 0000000000001928   
0601GEA0N       20240101001170000000005000 0000000000001933   
0601GEA0N       20240101001175000000005000 0000000000001939   
0601GEA0N       20240101001180000000005000 0000000000001943   
0601GEA0N       20240101001185000000005000 0000000000001948   
0601GEA0N       20240101001190000000005000 0000000000001953   
0601GEA0N       20240101001195000000005000 0000000000001958   
0601GEA0N       20240101001200000000005000 0000000000001963   
0601GEA0N       20240101001205000000005000 0000000000001967   
0601GEA0N       20240101001210000000005000 0000000000001972   
0601GEA0N       20240101001215000000005000 0000000000001977   
0601GEA0N       20240101001220000000005000 0000000000001981   
0601GEA0N       20240101001225000000005000 0000000000001986   
0601GEA0N       20240101001230000000005000 0000000000001990   
0601GEA0N       20240101001235000000005000 0000000000001995   
0601GEA0N       20240101001240000000005000 0000000000002000   
0601GEA0N       20240101001245000000005000 0000000000002005   
0601GEA0N       20240101001250000000005000 0000000000002009   
0601GEA0N       20240101001255000000005000 0000000000002014   
0601GEA0N       20240101001260000000005000 0000000000002019   
0601GEA0N       20240101001265000000005000 0000000000002023   
0601GEA0N       20240101001270000000005000 0000000000002027   
0601GEA0N       20240101001275000000005000 0000000000002032   
0601GEA0N       20240101001280000000005000 0000000000002037   
0601GEA0N       20240101001285000000005000 0000000000002041   
0601GEA0N       20240101001290000000005000 0000000000002046   
0601GEA0N       20240101001295000000005000 0000000000002050   
0601GEA0N       20240101001300000000005000 0000000000002055   
0601GEA0N       20240101001305000000005000 0000000000002059   
0601GEA0N       20240101001310000000005000 0000000000002064   
0601GEA0N       20240101001315000000005000 0000000000002068   
0601GEA0N       20240101001320000000005000 0000000000002073   
0601GEA0N       20240101001325000000005000 0000000000002078   
0601GEA0N       20240101001330000000005000 0000000000002082   
0601GEA0N       20240101001335000000005000 0000000000002086   
0601GEA0N       20240101001340000000005000 0000000000002091   
0601GEA0N       20240101001345000000005000 0000000000002095   
0601GEA0N       20240101001350000000005000 0000000000002099   
0601GEA0N       20240101001355000000005000 0000000000002104   
0601GEA0N       20240101001360000000005000 0000000000002108   
0601GEA0N       20240101001365000000005000 0000000000002112   
0601GEA0N       20240101001370000000005000 0000000000002116   
0601GEA0N       20240101001375000000005000 0000000000002120   
0601GEA0N       20240101001380000000005000 0000000000002124   
0601GEA0N       20240101001385000000005000 0000000000002129   
0601GEA0N       20240101001390000000005000 0000000000002133   
0601GEA0N       20240101001395000000005000 0000000000002136   
0601GEA0N       20240101001400000000005000 0000000000002141   
0601GEA0N       20240101001405000000005000 0000000000002145   
0601GEA0N       20240101001410000000005000 0000000000002148   
0601GEA0N       20240101001415000000005000 0000000000002153   
0601GEA0N       20240101001420000000005000 0000000000002156   
0601GEA0N       20240101001425000000005000 0000000000002160   
0601GEA0N       20240101001430000000005000 0000000000002164   
0601GEA0N       20240101001435000000005000 0000000000002168   
0601GEA0N       20240101001440000000005000 0000000000002173   
0601GEA0N       20240101001445000000005000 0000000000002177   
0601GEA0N       20240101001450000000005000 0000000000002182   
0601GEA0N       20240101001455000000005000 0000000000002186   
0601GEA0N       20240101001460000000005000 0000000000002190   
0601GEA0N       20240101001465000000005000 0000000000002195   
0601GEA0N       20240101001470000000005000 0000000000002199   
0601GEA0N       20240101001475000000005000 0000000000002203   
0601GEA0N       20240101001480000000005000 0000000000002207   
0601GEA0N       20240101001485000000005000 0000000000002211   
0601GEA0N       20240101001490000000005000 0000000000002215   
0601GEA0N       20240101001495000000005000 0000000000002220   
0601GEA0N       20240101001500000000005000 0000000000002224   
0601GEA0N       20240101001505000000005000 0000000000002228   
0601GEA0N       20240101001510000000005000 0000000000002232   
0601GEA0N       20240101001515000000005000 0000000000002236   
0601GEA0N       20240101001520000000005000 0000000000002240   
0601GEA0N       20240101001525000000005000 0000000000002244   
0601GEA0N       20240101001530000000005000 0000000000002248   
0601GEA0N       20240101001535000000005000 0000000000002252   
0601GEA0N       20240101001540000000005000 0000000000002256   
0601GEA0N       20240101001545000000005000 0000000000002259   
0601GEA0N       20240101001550000000005000 0000000000002263   
0601GEA0N       20240101001555000000005000 0000000000002267   
0601GEA0N       20240101001560000000005000 0000000000002271   
0601GEA0N       20240101001565000000005000 0000000000002275   
0601GEA0N       20240101001570000000005000 0000000000002278   
0601GEA0N       20240101001575000000005000 0000000000002282   
0601GEA0N       20240101001580000000005000 0000000000002286   
0601GEA0N       20240101001585000000005000 0000000000002289   
0601GEA0N       20240101001590000000005000 0000000000002293   
0601GEA0N       20240101001595000000005000 0000000000002297   
0601GEA0N       20240101001600000000005000 0000000000002300   
0601GEA0N       20240101001605000000005000 0000000000002304   
0601GEA0N       20240101001610000000005000 0000000000002307   
0601GEA0N       20240101001615000000005000 0000000000002311   
0601GEA0N       20240101001620000000005000 0000000000002315   
0601GEA0N       20240101001625000000005000 0000000000002318   
0601GEA0N       20240101001630000000005000 0000000000002321   
0601GEA0N       20240101001635000000005000 0000000000002325   
0601GEA0N       20240101001640000000005000 0000000000002328   
0601GEA0N       20240101001645000000005000 0000000000002332   
0601GEA0N       20240101001650000000005000 0000000000002335   
0601GEA0N       20240101001655000000005000 0000000000002339   
0601GEA0N       20240101001660000000005000 0000000000002342   
0601GEA0N       20240101001665000000005000 0000000000002345   
0601GEA0N       20240101001670000000005000 0000000000002349   
0601GEA0N       20240101001675000000005000 0000000000002352   
0601GEA0N       20240101001680000000005000 0000000000002355   
0601GEA0N       20240101001685000000005000 0000000000002358   
0601GEA0N       20240101001690000000005000 0000000000002361   
0601GEA0N       20240101001695000000005000 0000000000002365   
0601GEA0N       20240101001700000000005000 0000000000002368   
0601GEA0N       20240101001705000000005000 0000000000002371   
0601GEA0N       20240101001710000000005000 0000000000002375   
0601GEA0N       20240101001715000000005000 0000000000002378   
0601GEA0N       20240101001720000000005000 0000000000002382   
0601GEA0N       20240101001725000000005000 0000000000002385   
0601GEA0N       20240101001730000000005000 0000000000002388   
0601GEA0N       20240101001735000000005000 0000000000002392   
0601GEA0N       20240101001740000000005000 0000000000002395   
0601GEA0N       20240101001745000000005000 0000000000002398   
0601GEA0N       20240101001750000000005000 0000000000002401   
0601GEA0N       20240101001755000000005000 0000000000002404   
0601GEA0N       20240101001760000000005000 0000000000002408   
0601GEA0N       20240101001765000000005000 0000000000002411   
0601GEA0N       20240101001770000000005000 0000000000002414   
0601GEA0N       20240101001775000000005000 0000000000002417   
0601GEA0N       20240101001780000000005000 0000000000002420   
0601GEA0N       20240101001785000000005000 0000000000002423   
0601GEA0N       20240101001790000000005000 0000000000002426   
0601GEA0N       20240101001795000000005000 0000000000002430   
